,Similarity,Emoji,Target Emoji
69,0.70590466,😵,🤧
95,0.7022967,😓,🤧
122,0.6896521,😿,🤧
58,0.680599,😪,🤧
97,0.66855127,😫,🤧
96,0.6670031,😩,🤧
123,0.66092175,😾,🤧
76,0.65309024,🙁,🤧
94,0.63190514,😞,🤧
92,0.62315947,😖,🤧
61,0.61671853,🤒,🤧
85,0.6166148,😧,🤧
41,0.6067067,🙃,🤧
62,0.60575277,🤕,🤧
5,1.0,😅,😅
7,0.80683434,😂,😅
3,0.77393466,😁,😅
41,0.7226975,🙃,😅
20,0.7134652,🥲,😅
37,0.71210957,🥸,😅
39,0.6992996,🤓,😅
6,0.6991842,🤣,😅
262,0.6964525,🤦‍♀️,😅
52,0.68513215,😬,😅
56,0.67771554,😌,😅
51,0.67568123,🙄,😅
28,0.67560434,🤭,😅
44,0.6642914,🤨,😅
85,0.66009563,😧,😅
263,0.656594,🤷,😅
265,0.65646875,🤷‍♀️,😅
249,0.65352875,💁‍♂️,😅
68,0.64937204,🥴,😅
9,0.64815307,😉,😅
676,1.0,🌲,🌲
866,0.71463186,🎄,🌲
443,0.7016647,🎅,🌲
444,0.6828024,🤶,🌲
867,0.6756584,🎆,🌲
731,0.6569615,⛄,🌲
708,0.6373859,🌠,🌲
881,0.6371061,🎁,🌲
445,0.62707627,🧑‍🎄,🌲
847,0.6176297,🍸,🌲
860,0.60512257,🍴,🌲
799,0.60123396,🥘,🌲
956,0.5982002,🏕️,🌲
328,0.59141904,⛷️,🌲
379,0.5891457,👩‍🎓,🌲
491,0.58587927,👨‍👩‍👧‍👦,🌲
917,0.58479327,🛷,🌲
931,0.5824244,🪅,🌲
730,0.5778003,☃️,🌲
1158,0.57613647,🥁,🌲
866,0.99999994,🎄,🎄
443,0.8173916,🎅,🎄
881,0.76111037,🎁,🎄
444,0.724034,🤶,🎄
676,0.71463186,🌲,🎄
445,0.6111743,🧑‍🎄,🎄
731,0.6110373,⛄,🎄
730,0.5933308,☃️,🎄
867,0.5401988,🎆,🎄
729,0.5165033,❄️,🎄
917,0.5049307,🛷,🎄
799,0.5031011,🥘,🎄
555,0.5023075,🦌,🎄
845,0.49133736,🍾,🎄
708,0.48910457,🌠,🎄
860,0.4889761,🍴,🎄
829,0.48201,🍪,🎄
1035,0.47302002,🚙,🎄
491,0.4729801,👨‍👩‍👧‍👦,🎄
779,0.46589243,🥯,🎄
7,1.0,😂,😂
6,0.8224164,🤣,😂
5,0.80683434,😅,😂
85,0.69157326,😧,😂
117,0.68543303,😹,😂
54,0.6832921,🤥,😂
3,0.67856014,😁,😂
4,0.6781384,😆,😂
533,0.6753645,🦧,😂
51,0.6705877,🙄,😂
249,0.67036724,💁‍♂️,😂
246,0.65841794,🙆‍♂️,😂
262,0.6546557,🤦‍♀️,😂
37,0.6526426,🥸,😂
245,0.65011543,🙆,😂
126,0.6381526,🙊,😂
1010,0.63501453,🗿,😂
68,0.6345155,🥴,😂
277,0.6310134,🚶‍♀️,😂
43,0.62772536,🤐,😂
82,0.9999999,🥺,🥺
90,0.8239939,😭,🥺
20,0.81663764,🥲,🥺
57,0.7837271,😔,🥺
77,0.75990176,☹️,🥺
96,0.75440335,😩,🥺
65,0.7507329,🤧,🥺
122,0.7259743,😿,🥺
94,0.70519125,😞,🥺
95,0.6970663,😓,🥺
93,0.69429946,😣,🥺
12,0.6868273,🥰,🥺
84,0.6838111,😦,🥺
484,0.6789712,👩‍❤️‍💋‍👩,🥺
97,0.6723108,😫,🥺
58,0.67052686,😪,🥺
281,0.65682673,🧍,🥺
87,0.6472154,😰,🥺
1380,0.6469968,❤️‍🩹,🥺
120,0.6438817,😽,🥺
20,0.9999999,🥲,🥲
82,0.81663764,🥺,🥲
90,0.81331,😭,🥲
57,0.81157607,😔,🥲
77,0.80130756,☹️,🥲
95,0.76969796,😓,🥲
68,0.7515333,🥴,🥲
58,0.74884915,😪,🥲
65,0.7422133,🤧,🥲
96,0.7353187,😩,🥲
122,0.73161036,😿,🥲
41,0.7313957,🙃,🥲
93,0.7284643,😣,🥲
70,0.7282637,😵‍💫,🥲
92,0.726696,😖,🥲
97,0.7244753,😫,🥲
94,0.7195188,😞,🥲
5,0.7134652,😅,🥲
61,0.69850343,🤒,🥲
62,0.6933003,🤕,🥲
1552,1.0000001,❗,❗
1551,0.62886775,❕,❗
1297,0.60119575,🔍,❗
622,0.5573626,🐢,❗
1085,0.5496937,👓,❗
1547,0.53618973,‼️,❗
752,0.5359729,🥝,❗
1500,0.5293434,🔽,❗
674,0.51749146,🌱,❗
757,0.5146632,🍆,❗
1487,0.5084096,🔝,❗
708,0.50510144,🌠,❗
149,0.50413144,👆,❗
1037,0.5027168,🚚,❗
921,0.50172716,🪁,❗
1200,0.49259397,📜,❗
722,0.49117455,🌀,❗
1456,0.47372884,⛔,❗
204,0.47370595,👩,❗
1501,0.4713032,⏬,❗
6,1.0000001,🤣,🤣
7,0.8224164,😂,🤣
4,0.76022416,😆,🤣
26,0.70869094,😝,🤣
5,0.6991842,😅,🤣
117,0.6549653,😹,🤣
262,0.6382955,🤦‍♀️,🤣
54,0.63707703,🤥,🤣
25,0.63406855,🤪,🤣
85,0.63132644,😧,🤣
126,0.61980367,🙊,🤣
51,0.613454,🙄,🤣
28,0.60852486,🤭,🤣
124,0.6056785,🙈,🤣
2,0.6018572,😄,🤣
23,0.59700924,😛,🤣
150,0.5901612,🖕,🤣
68,0.58866787,🥴,🤣
116,0.5863541,😸,🤣
248,0.5845133,💁,🤣
52,1.0,😬,😬
51,0.6888058,🙄,😬
5,0.68513215,😅,😬
68,0.6574208,🥴,😬
261,0.6423097,🤦‍♂️,😬
262,0.6413331,🤦‍♀️,😬
77,0.64016986,☹️,😬
124,0.6381423,🙈,😬
92,0.63362706,😖,😬
41,0.6255787,🙃,😬
76,0.62233037,🙁,😬
84,0.6199836,😦,😬
45,0.6184699,😐,😬
57,0.6133656,😔,😬
20,0.6131204,🥲,😬
87,0.61102384,😰,😬
264,0.61032724,🤷‍♂️,😬
73,0.60756654,😕,😬
46,0.6046195,😑,😬
95,0.6025584,😓,😬
148,1.0,👉,👉
1163,0.49462023,📲,👉
1580,0.484906,ℹ️,👉
147,0.47180355,👈,👉
1471,0.4461258,⬇️,👉
151,0.4283914,👇,👉
167,0.42166182,✍️,👉
883,0.42073032,🎫,👉
946,0.41901085,🌎,👉
1209,0.41405132,📨,👉
1491,0.41147238,▶️,👉
1201,0.4062398,📄,👉
1196,0.40558523,📚,👉
882,0.4055661,🎟️,👉
1172,0.4020318,🖥️,👉
1238,0.40084326,📊,👉
1608,0.40074003,♻️,👉
1138,0.4001029,📣,👉
1145,0.39576158,🎙️,👉
1203,0.39316496,🗞️,👉
