,Similarity,Emoji,Target Emoji
8,0.5148968,🙂,😇
129,0.5055043,🖐️,😇
41,0.46924213,🙃,😇
116,0.46859974,😸,😇
57,0.463365,😔,😇
93,0.4632624,😣,😇
852,0.46153238,🥃,😇
73,0.45597076,😕,😇
46,0.45463228,😑,😇
774,0.45280248,🍞,😇
51,0.45259163,🙄,😇
76,0.45207742,🙁,😇
125,0.44517022,🙉,😇
3,0.4436127,😁,😇
1370,0.44317248,💝,😇
84,0.4430346,😦,😇
12,1.0,🥰,🥰
13,0.7660158,😍,🥰
118,0.7131802,😻,🥰
82,0.6868273,🥺,🥰
120,0.67217624,😽,🥰
484,0.6711118,👩‍❤️‍💋‍👩,🥰
1381,0.6685092,❤️,🥰
14,0.6594819,🤩,🥰
18,0.65216583,😚,🥰
116,0.65039957,😸,🥰
1129,0.64488935,💄,🥰
119,0.63651145,😼,🥰
319,0.6361217,👯‍♀️,🥰
476,0.6361217,👯‍♀️,🥰
1369,0.6276839,💘,🥰
190,0.6205009,👶,🥰
1370,0.62038386,💝,🥰
544,0.6109392,🐈‍⬛,🥰
179,0.6095482,🫀,🥰
10,0.60927546,😊,🥰
13,0.99999994,😍,😍
12,0.7660158,🥰,😍
14,0.7582888,🤩,😍
1129,0.7468281,💄,😍
118,0.6874858,😻,😍
1381,0.62095904,❤️,😍
544,0.58185756,🐈‍⬛,😍
139,0.5572,🤌,😍
179,0.5532564,🫀,😍
82,0.5405058,🥺,😍
34,0.53802794,🤤,😍
18,0.53455025,😚,😍
116,0.5330673,😸,😍
430,0.5279355,🥷,😍
78,0.5271243,😮,😍
835,0.5197842,🍬,😍
119,0.5197142,😼,😍
1370,0.5142351,💝,😍
144,0.5132427,🤟,😍
184,0.5088729,👅,😍
14,1.0000001,🤩,🤩
13,0.7582888,😍,🤩
12,0.6594819,🥰,🤩
78,0.6367884,😮,🤩
1129,0.5877994,💄,🤩
118,0.58526343,😻,🤩
79,0.5602178,😯,🤩
71,0.55021274,🤯,🤩
119,0.5456448,😼,🤩
37,0.52211607,🥸,🤩
430,0.51846457,🥷,🤩
53,0.5120801,😮‍💨,🤩
179,0.5042092,🫀,🤩
139,0.50135297,🤌,🤩
80,0.4949495,😲,🤩
35,0.49312487,🤠,🤩
628,0.49044627,🦖,🤩
38,0.49022105,😎,🤩
804,0.48708168,🍿,🤩
183,0.48457354,👀,🤩
15,1.0,😘,😘
18,0.7071404,😚,😘
1393,0.63572764,💋,😘
9,0.592848,😉,😘
12,0.58709323,🥰,😘
253,0.58489794,🙋‍♀️,😘
10,0.5670311,😊,😘
16,0.5658721,😗,😘
27,0.56333596,🤗,😘
17,0.5451448,☺️,😘
19,0.54495233,😙,😘
28,0.513234,🤭,😘
120,0.5081996,😽,😘
251,0.49494597,🙋,😘
24,0.4871805,😜,😘
319,0.48227572,👯‍♀️,😘
476,0.48227572,👯‍♀️,😘
484,0.47815964,👩‍❤️‍💋‍👩,😘
775,0.47205648,🥐,😘
184,0.47065032,👅,😘
16,0.99999994,😗,😗
18,0.71473,😚,😗
19,0.7133948,😙,😗
281,0.69893116,🧍,😗
482,0.6526332,👩‍❤️‍💋‍👨,😗
484,0.6413323,👩‍❤️‍💋‍👩,😗
319,0.63430387,👯‍♀️,😗
476,0.63430387,👯‍♀️,😗
120,0.62658864,😽,😗
244,0.60897344,🙅‍♀️,😗
122,0.597262,😿,😗
259,0.59624374,🙇‍♀️,😗
1631,0.59624255,🏳️,😗
123,0.5962008,😾,😗
49,0.595616,😶‍🌫️,😗
294,0.5949789,👩‍🦯,😗
119,0.5906868,😼,😗
271,0.58846575,💆‍♀️,😗
283,0.5872106,🧍‍♀️,😗
110,0.5832415,👺,😗
17,1.0000001,☺️,☺️
10,0.81494963,😊,☺️
3,0.6912706,😁,☺️
56,0.65791285,😌,☺️
8,0.6332148,🙂,☺️
9,0.61845464,😉,☺️
27,0.5993926,🤗,☺️
18,0.59616554,😚,☺️
19,0.5919628,😙,☺️
5,0.59087723,😅,☺️
15,0.5451448,😘,☺️
12,0.5390962,🥰,☺️
20,0.53133583,🥲,☺️
253,0.53103846,🙋‍♀️,☺️
775,0.5256145,🥐,☺️
1,0.52530736,😃,☺️
128,0.5164711,🤚,☺️
28,0.51591665,🤭,☺️
129,0.5138446,🖐️,☺️
154,0.50755966,👍,☺️
18,1.0000001,😚,😚
16,0.71473,😗,😚
15,0.7071404,😘,😚
120,0.6978335,😽,😚
10,0.67490077,😊,😚
484,0.6643122,👩‍❤️‍💋‍👩,😚
19,0.660763,😙,😚
12,0.65216583,🥰,😚
116,0.6311453,😸,😚
482,0.6304173,👩‍❤️‍💋‍👨,😚
281,0.62304705,🧍,😚
455,0.61806554,🧚,😚
17,0.59616554,☺️,😚
184,0.5946208,👅,😚
1393,0.592813,💋,😚
476,0.5879197,👯‍♀️,😚
319,0.5879197,👯‍♀️,😚
489,0.5844412,👨‍👩‍👦,😚
253,0.58335096,🙋‍♀️,😚
119,0.579995,😼,😚
19,0.9999999,😙,😙
16,0.7133948,😗,😙
120,0.6721617,😽,😙
319,0.6654636,👯‍♀️,😙
476,0.6654636,👯‍♀️,😙
18,0.660763,😚,😙
281,0.6400518,🧍,😙
484,0.6378502,👩‍❤️‍💋‍👩,😙
482,0.6180445,👩‍❤️‍💋‍👨,😙
72,0.61467785,🥱,😙
128,0.60981256,🤚,😙
628,0.6069529,🦖,😙
800,0.60388833,🍲,😙
472,0.59912205,🧟‍♀️,😙
53,0.5990609,😮‍💨,😙
122,0.59870553,😿,😙
12,0.5958087,🥰,😙
17,0.5919628,☺️,😙
119,0.5895438,😼,😙
373,0.58932996,🛌,😙
20,0.9999999,🥲,🥲
82,0.81663764,🥺,🥲
90,0.81331,😭,🥲
57,0.81157607,😔,🥲
77,0.80130756,☹️,🥲
95,0.76969796,😓,🥲
68,0.7515333,🥴,🥲
58,0.74884915,😪,🥲
65,0.7422133,🤧,🥲
96,0.7353187,😩,🥲
122,0.73161036,😿,🥲
41,0.7313957,🙃,🥲
93,0.7284643,😣,🥲
70,0.7282637,😵‍💫,🥲
92,0.726696,😖,🥲
97,0.7244753,😫,🥲
94,0.7195188,😞,🥲
5,0.7134652,😅,🥲
61,0.69850343,🤒,🥲
62,0.6933003,🤕,🥲
